Date,Temperature (C),Weather,Wind (km/h),Humidity (%),Barometer (mbar),Visibility (km)
Privacy-1-1 00:53,7,Clear.,7,28,1018,16
Privacy-1-1 01:53,7,Clear.,9,30,1019,16
Privacy-1-1 02:53,7,Clear.,28,35,1019,16
Privacy-1-1 03:53,7,Clear.,17,33,1019,16
Privacy-1-1 04:53,6,Clear.,11,37,1019,16
Privacy-1-1 05:53,5,Clear.,7,43,1019,16
Privacy-1-1 06:53,6,Clear.,11,41,1020,16
Privacy-1-1 07:53,7,Sunny.,22,34,1020,16
Privacy-1-1 08:53,9,Sunny.,15,31,1021,16
Privacy-1-1 09:53,11,Sunny.,22,29,1022,16
Privacy-1-1 10:53,12,Sunny.,19,24,1021,16
Privacy-1-1 11:53,12,Sunny.,22,27,1020,16
Privacy-1-1 12:53,13,Sunny.,19,24,1020,16
Privacy-1-1 13:53,13,Sunny.,22,24,1019,16
Privacy-1-1 14:53,13,Sunny.,26,21,1019,16
Privacy-1-1 15:53,12,Sunny.,11,23,1020,16
Privacy-1-1 16:53,9,Sunny.,13,33,1021,16
Privacy-1-1 17:53,8,Clear.,13,33,1021,16
Privacy-1-1 18:53,9,Clear.,0,30,1021,16
Privacy-1-1 19:53,8,Clear.,0,33,1021,16
Privacy-1-1 20:53,6,Clear.,0,42,1021,16
Privacy-1-1 21:53,5,Passing clouds.,6,49,1021,16
Privacy-1-1 22:53,4,Passing clouds.,0,53,1022,16
Privacy-1-1 23:53,4,Passing clouds.,6,62,1022,16
Privacy-1-1 00:53,7,Clear.,7,28,1018,16
Privacy-1-1 01:53,7,Clear.,9,30,1019,16
Privacy-1-1 02:53,7,Clear.,28,35,1019,16
Privacy-1-1 03:53,7,Clear.,17,33,1019,16
Privacy-1-1 04:53,6,Clear.,11,37,1019,16
Privacy-1-1 05:53,5,Clear.,7,43,1019,16
Privacy-1-1 06:53,6,Clear.,11,41,1020,16
Privacy-1-1 07:53,7,Sunny.,22,34,1020,16
Privacy-1-1 08:53,9,Sunny.,15,31,1021,16
Privacy-1-1 09:53,11,Sunny.,22,29,1022,16
Privacy-1-1 10:53,12,Sunny.,19,24,1021,16
Privacy-1-1 11:53,12,Sunny.,22,27,1020,16
Privacy-1-1 12:53,13,Sunny.,19,24,1020,16
Privacy-1-1 13:53,13,Sunny.,22,24,1019,16
Privacy-1-1 14:53,13,Sunny.,26,21,1019,16
Privacy-1-1 15:53,12,Sunny.,11,23,1020,16
Privacy-1-1 16:53,9,Sunny.,13,33,1021,16
Privacy-1-1 17:53,8,Clear.,13,33,1021,16
Privacy-1-1 18:53,9,Clear.,0,30,1021,16
Privacy-1-1 19:53,8,Clear.,0,33,1021,16
Privacy-1-1 20:53,6,Clear.,0,42,1021,16
Privacy-1-1 21:53,5,Passing clouds.,6,49,1021,16
Privacy-1-1 22:53,4,Passing clouds.,0,53,1022,16
Privacy-1-1 23:53,4,Passing clouds.,6,62,1022,16
Privacy-1-1 00:53,7,Clear.,7,28,1018,16
Privacy-1-1 01:53,7,Clear.,9,30,1019,16
Privacy-1-1 02:53,7,Clear.,28,35,1019,16
Privacy-1-1 03:53,7,Clear.,17,33,1019,16
Privacy-1-1 04:53,6,Clear.,11,37,1019,16
Privacy-1-1 05:53,5,Clear.,7,43,1019,16
Privacy-1-1 06:53,6,Clear.,11,41,1020,16
Privacy-1-1 07:53,7,Sunny.,22,34,1020,16
Privacy-1-1 08:53,9,Sunny.,15,31,1021,16
Privacy-1-1 09:53,11,Sunny.,22,29,1022,16
Privacy-1-1 10:53,12,Sunny.,19,24,1021,16
Privacy-1-1 11:53,12,Sunny.,22,27,1020,16
Privacy-1-1 12:53,13,Sunny.,19,24,1020,16
Privacy-1-1 13:53,13,Sunny.,22,24,1019,16
Privacy-1-1 14:53,13,Sunny.,26,21,1019,16
Privacy-1-1 15:53,12,Sunny.,11,23,1020,16
Privacy-1-1 16:53,9,Sunny.,13,33,1021,16
Privacy-1-1 17:53,8,Clear.,13,33,1021,16
Privacy-1-1 18:53,9,Clear.,0,30,1021,16
Privacy-1-1 19:53,8,Clear.,0,33,1021,16
Privacy-1-1 20:53,6,Clear.,0,42,1021,16
Privacy-1-1 21:53,5,Passing clouds.,6,49,1021,16
Privacy-1-1 22:53,4,Passing clouds.,0,53,1022,16
Privacy-1-1 23:53,4,Passing clouds.,6,62,1022,16
Privacy-1-1 00:53,7,Clear.,7,28,1018,16
Privacy-1-1 01:53,7,Clear.,9,30,1019,16
Privacy-1-1 02:53,7,Clear.,28,35,1019,16
Privacy-1-1 03:53,7,Clear.,17,33,1019,16
Privacy-1-1 04:53,6,Clear.,11,37,1019,16
Privacy-1-1 05:53,5,Clear.,7,43,1019,16
Privacy-1-1 06:53,6,Clear.,11,41,1020,16
Privacy-1-1 07:53,7,Sunny.,22,34,1020,16
Privacy-1-1 08:53,9,Sunny.,15,31,1021,16
Privacy-1-1 09:53,11,Sunny.,22,29,1022,16
Privacy-1-1 10:53,12,Sunny.,19,24,1021,16
Privacy-1-1 11:53,12,Sunny.,22,27,1020,16
Privacy-1-1 12:53,13,Sunny.,19,24,1020,16
Privacy-1-1 13:53,13,Sunny.,22,24,1019,16
Privacy-1-1 14:53,13,Sunny.,26,21,1019,16
Privacy-1-1 15:53,12,Sunny.,11,23,1020,16
Privacy-1-1 16:53,9,Sunny.,13,33,1021,16
Privacy-1-1 17:53,8,Clear.,13,33,1021,16
Privacy-1-1 18:53,9,Clear.,0,30,1021,16
Privacy-1-1 19:53,8,Clear.,0,33,1021,16
Privacy-1-1 20:53,6,Clear.,0,42,1021,16
Privacy-1-1 21:53,5,Passing clouds.,6,49,1021,16
Privacy-1-1 22:53,4,Passing clouds.,0,53,1022,16
Privacy-1-1 23:53,4,Passing clouds.,6,62,1022,16
Privacy-1-3 00:53,2,Clear.,0,79,1022,16
Privacy-1-3 01:53,3,Clear.,0,79,1023,16
Privacy-1-3 02:53,2,Clear.,0,79,1023,16
Privacy-1-3 03:53,2,Clear.,0,78,1023,16
Privacy-1-3 04:53,1,Clear.,6,82,1023,16
Privacy-1-3 05:53,1,Clear.,6,82,1024,16
Privacy-1-3 06:53,1,Passing clouds.,0,85,1024,16
Privacy-1-3 07:53,2,Passing clouds.,0,85,1024,16
Privacy-1-3 08:53,5,Passing clouds.,0,74,1025,16
Privacy-1-3 09:53,7,Passing clouds.,0,65,1026,16
Privacy-1-3 10:53,8,Passing clouds.,7,61,1025,14
Privacy-1-3 11:53,9,Passing clouds.,9,66,1024,14
Privacy-1-3 12:53,11,Passing clouds.,15,59,1024,14
Privacy-1-3 13:53,12,Passing clouds.,15,55,1024,14
Privacy-1-3 14:53,12,Passing clouds.,15,52,1024,14
Privacy-1-3 15:53,11,Passing clouds.,9,59,1025,14
Privacy-1-3 16:53,11,Passing clouds.,0,55,1025,16
Privacy-1-3 17:53,8,Passing clouds.,0,69,1025,16
Privacy-1-3 18:53,9,Passing clouds.,6,66,1026,13
Privacy-1-3 19:53,7,Passing clouds.,0,74,1026,14
Privacy-1-3 20:53,6,Passing clouds.,0,76,1026,14
Privacy-1-3 21:53,5,Passing clouds.,0,80,1026,14
Privacy-1-3 22:53,4,Passing clouds.,0,82,1027,14
Privacy-1-3 23:53,4,Passing clouds.,0,86,1027,14
Privacy-1-4 00:53,3,Passing clouds.,6,86,1027,11
Privacy-1-4 01:53,3,Passing clouds.,0,86,1027,11
Privacy-1-4 02:53,4,Passing clouds.,0,83,1028,16
Privacy-1-4 03:53,3,Partly cloudy.,0,86,1028,16
Privacy-1-4 04:53,4,Overcast.,0,86,1028,14
Privacy-1-4 05:53,3,Overcast.,0,86,1028,14
Privacy-1-4 06:53,5,Passing clouds.,0,82,1029,13
Privacy-1-4 07:53,6,Partly sunny.,13,79,1029,11
Privacy-1-4 08:53,6,Partly sunny.,7,79,1030,13
Privacy-1-4 09:53,9,Scattered clouds.,0,74,1031,13
Privacy-1-4 10:53,10,Partly sunny.,6,66,1030,11
Privacy-1-4 11:53,10,Partly sunny.,11,66,1029,10
Privacy-1-4 12:53,11,Broken clouds.,11,66,1029,11
Privacy-1-4 13:53,11,Partly sunny.,7,66,1028,11
Privacy-1-4 14:53,12,Partly sunny.,11,57,1029,14
Privacy-1-4 15:53,11,Partly sunny.,7,69,1029,14
Privacy-1-4 16:53,10,Partly sunny.,0,71,1029,11
Privacy-1-4 17:53,8,Passing clouds.,0,77,1029,13
Privacy-1-4 18:53,8,Passing clouds.,7,69,1029,16
Privacy-1-4 19:53,9,Passing clouds.,11,61,1028,16
Privacy-1-4 20:53,9,Passing clouds.,11,61,1029,16
Privacy-1-4 21:53,7,Clear.,6,68,1029,16
Privacy-1-4 22:53,6,Passing clouds.,0,71,1029,16
Privacy-1-4 23:53,4,Passing clouds.,6,80,1029,16
Privacy-1-6 00:53,8,Clear.,0,73,1024,16
Privacy-1-6 01:53,6,Clear.,6,76,1024,16
Privacy-1-6 02:53,5,Clear.,6,86,1024,16
Privacy-1-6 03:53,8,Passing clouds.,0,83,1024,16
Privacy-1-6 04:53,4,Passing clouds.,0,93,1024,13
Privacy-1-6 05:53,7,Passing clouds.,0,79,1024,14
Privacy-1-6 06:53,6,Passing clouds.,0,76,1024,11
Privacy-1-6 07:53,6,Passing clouds.,0,79,1025,11
Privacy-1-6 08:53,9,Haze.,0,80,1025,10
Privacy-1-6 09:53,11,Haze.,7,64,1026,10
Privacy-1-6 10:53,12,Haze.,7,72,1025,8
Privacy-1-6 11:53,12,Sunny.,7,66,1024,8
Privacy-1-6 12:53,13,Sunny.,9,62,1023,8
Privacy-1-6 13:53,14,Sunny.,9,53,1022,8
Privacy-1-6 14:53,14,Sunny.,6,51,1022,10
Privacy-1-6 15:53,14,Haze.,7,51,1022,10
Privacy-1-6 16:53,14,Haze.,6,53,1022,10
Privacy-1-6 17:53,13,Clear.,0,55,1022,13
Privacy-1-6 18:53,11,Clear.,0,64,1022,16
Privacy-1-6 19:53,12,Clear.,13,57,1022,16
Privacy-1-6 20:53,12,Clear.,0,59,1022,16
Privacy-1-6 21:53,8,Clear.,0,71,1023,16
Privacy-1-6 22:53,9,Clear.,0,77,1022,16
Privacy-1-6 23:53,8,Clear.,0,79,1022,16
Privacy-1-7 00:53,6,Clear.,0,85,1022,16
Privacy-1-7 01:53,7,Clear.,0,82,1022,14
Privacy-1-7 02:53,8,Clear.,7,83,1022,14
Privacy-1-7 03:53,4,Clear.,0,89,1022,16
Privacy-1-7 04:53,6,Clear.,0,82,1021,14
Privacy-1-7 05:53,4,Clear.,0,93,1022,16
Privacy-1-7 06:53,6,Clear.,0,89,1022,14
Privacy-1-7 07:53,5,Sunny.,0,89,1023,16
Privacy-1-7 08:53,9,Sunny.,0,84,1023,16
Privacy-1-7 09:53,11,Passing clouds.,7,77,1024,13
Privacy-1-7 10:53,12,Passing clouds.,11,74,1023,13
Privacy-1-7 11:53,14,Passing clouds.,6,67,1022,13
Privacy-1-7 12:53,15,Passing clouds.,6,56,1021,14
Privacy-1-7 13:53,16,Passing clouds.,0,49,1020,16
Privacy-1-7 14:53,17,Passing clouds.,6,45,1020,16
Privacy-1-7 15:53,17,Scattered clouds.,6,48,1020,16
Privacy-1-7 16:53,16,Passing clouds.,6,52,1020,16
Privacy-1-7 17:53,14,Passing clouds.,7,56,1019,16
Privacy-1-7 18:53,13,Passing clouds.,0,67,1019,16
Privacy-1-7 19:53,12,Clear.,0,72,1019,16
Privacy-1-7 20:53,12,Clear.,0,72,1019,16
Privacy-1-7 21:53,10,Passing clouds.,0,89,1018,16
Privacy-1-7 22:53,11,Passing clouds.,0,80,1019,16
Privacy-1-7 23:53,8,Passing clouds.,0,89,1019,16
Privacy-1-8 00:53,7,Passing clouds.,6,90,1018,16
Privacy-1-8 01:53,7,Clear.,0,93,1019,14
Privacy-1-8 02:53,8,Clear.,0,86,1019,16
Privacy-1-8 03:53,8,Overcast.,0,86,1018,16
Privacy-1-8 04:53,7,Overcast.,6,85,1018,16
Privacy-1-8 05:53,6,Passing clouds.,7,89,1018,16
Privacy-1-8 06:53,6,Passing clouds.,0,85,1018,16
Privacy-1-8 07:53,8,Partly sunny.,0,86,1018,16
Privacy-1-8 08:53,11,Partly sunny.,0,83,1019,16
Privacy-1-8 09:53,14,Scattered clouds.,0,72,1019,16
Privacy-1-8 10:53,16,Broken clouds.,0,65,1019,16
Privacy-1-8 11:53,14,Overcast.,9,67,1018,16
Privacy-1-8 12:53,14,Mostly cloudy.,9,72,1017,16
Privacy-1-8 13:53,14,Mostly cloudy.,6,70,1017,16
Privacy-1-8 14:53,16,Mostly cloudy.,0,60,1017,10
Privacy-1-8 15:53,14,Mostly cloudy.,6,69,1016,10
Privacy-1-8 16:53,13,Broken clouds.,7,74,1017,10
Privacy-1-8 17:53,11,Passing clouds.,0,83,1016,10
Privacy-1-8 18:53,11,Passing clouds.,9,89,1016,14
Privacy-1-8 19:53,11,Partly cloudy.,6,80,1016,10
Privacy-1-8 20:53,11,Partly cloudy.,0,80,1016,10
Privacy-1-8 21:53,10,Fog.,0,86,1016,10
Privacy-1-8 22:53,10,Fog.,0,86,1017,10
Privacy-1-8 23:53,9,Fog.,6,89,1016,8
Privacy-1-9 00:53,10,Fog.,9,86,1016,8
Privacy-1-9 01:53,8,Fog.,6,93,1016,6
Privacy-1-9 02:53,9,Fog.,0,89,1016,8
Privacy-1-9 03:53,9,Fog.,0,90,1016,8
Privacy-1-9 04:53,9,Fog.,0,93,1016,8
Privacy-1-9 05:53,10,Fog.,6,89,1016,8
Privacy-1-9 06:53,10,Fog.,0,86,1016,8
Privacy-1-9 07:53,9,Fog.,0,89,1016,8
Privacy-1-9 08:53,11,Fog.,9,86,1017,8
Privacy-1-9 09:53,12,Fog.,6,86,1017,5
Privacy-1-9 10:53,12,Partly sunny.,7,80,1017,6
Privacy-1-9 11:53,15,Broken clouds.,13,67,1016,13
Privacy-1-9 12:53,16,Broken clouds.,7,60,1015,13
Privacy-1-9 13:53,15,Broken clouds.,9,62,1015,13
Privacy-1-9 14:53,17,Partly sunny.,13,58,1015,13
Privacy-1-9 15:53,17,Partly sunny.,11,54,1015,16
Privacy-1-9 16:53,14,Broken clouds.,11,69,1015,16
Privacy-1-9 17:53,13,Partly cloudy.,9,83,1015,16
Privacy-1-9 18:53,12,Passing clouds.,9,86,1016,16
Privacy-1-9 19:53,12,Passing clouds.,9,89,1016,14
Privacy-1-9 20:53,11,Passing clouds.,0,93,1016,14
Privacy-1-9 21:53,10,Passing clouds.,0,93,1016,11
Privacy-1-9 22:53,10,Fog.,0,89,1016,8
Privacy-1-9 23:53,11,Passing clouds.,0,92,1015,13
Privacy-1-10 00:53,10,Passing clouds.,7,89,1016,14
Privacy-1-10 01:53,9,Passing clouds.,7,90,1015,13
Privacy-1-10 02:53,11,Passing clouds.,0,92,1016,13
Privacy-1-10 03:53,9,Passing clouds.,0,93,1015,13
Privacy-1-10 04:53,9,Passing clouds.,0,93,1015,14
Privacy-1-10 05:53,11,Fog.,13,92,1016,8
Privacy-1-10 06:53,10,Fog.,0,93,1016,8
Privacy-1-10 07:53,11,Fog.,7,92,1017,6
Privacy-1-10 08:53,12,Broken clouds.,0,93,1017,10
Privacy-1-10 09:53,12,Broken clouds.,6,89,1017,11
Privacy-1-10 10:53,13,Broken clouds.,9,83,1017,11
Privacy-1-10 11:53,12,Broken clouds.,9,83,1016,10
Privacy-1-10 13:53,13,Broken clouds.,7,83,1014,10
Privacy-1-10 14:53,14,Broken clouds.,9,74,1014,10
Privacy-1-10 15:53,14,Broken clouds.,9,78,1015,10
Privacy-1-10 16:53,13,Broken clouds.,7,80,1015,11
Privacy-1-10 17:53,12,Passing clouds.,7,83,1015,16
Privacy-1-10 18:53,12,Passing clouds.,6,86,1015,16
Privacy-1-10 19:53,11,Passing clouds.,0,89,1016,16
Privacy-1-10 20:53,10,Fog.,7,93,1016,16
Privacy-1-10 21:53,8,Fog.,6,93,1016,8
Privacy-1-10 22:53,9,Passing clouds.,0,90,1016,16
Privacy-1-10 23:53,10,Passing clouds.,6,89,1017,14
Privacy-1-11 00:53,8,Passing clouds.,7,93,1016,13
Privacy-1-11 01:53,8,Partly cloudy.,0,90,1016,16
Privacy-1-11 02:53,8,Fog.,6,90,1017,14
Privacy-1-11 03:53,7,Fog.,0,93,1017,13
Privacy-1-11 04:53,7,Fog.,6,90,1017,10
Privacy-1-11 05:53,7,Fog.,6,90,1017,10
Privacy-1-11 06:53,8,Fog.,6,93,1018,8
Privacy-1-11 07:53,9,Fog.,0,93,1018,0
Privacy-1-11 08:53,9,Fog.,0,93,1019,2
Privacy-1-11 09:53,10,Fog.,6,96,1020,2
Privacy-1-11 10:53,10,Fog.,6,96,1020,0
Privacy-1-11 11:53,11,Fog.,0,93,1020,0
Privacy-1-11 12:53,13,Fog.,0,80,1019,6
Privacy-1-11 13:53,13,Broken clouds.,7,77,1019,10
Privacy-1-11 14:53,13,Broken clouds.,7,77,1019,10
Privacy-1-11 15:53,12,Partly sunny.,9,86,1019,10
Privacy-1-11 16:53,12,Partly sunny.,11,83,1020,16
Privacy-1-11 17:53,12,Passing clouds.,6,86,1020,16
Privacy-1-11 18:53,11,Passing clouds.,9,86,1020,16
Privacy-1-11 19:53,10,Passing clouds.,6,89,1021,16
Privacy-1-11 20:53,10,Passing clouds.,7,89,1021,16
Privacy-1-11 21:53,9,Passing clouds.,6,93,1022,16
Privacy-1-11 22:53,10,Passing clouds.,11,89,1022,16
Privacy-1-11 23:53,9,Clear.,7,93,1022,16
Privacy-1-12 00:53,8,Passing clouds.,0,96,1022,13
Privacy-1-12 01:53,7,Passing clouds.,0,93,1023,13
Privacy-1-12 02:53,7,Passing clouds.,0,93,1023,14
Privacy-1-12 03:53,7,Clear.,0,93,1023,13
Privacy-1-12 04:53,6,Fog.,0,93,1023,8
Privacy-1-12 05:53,7,Fog.,0,93,1023,6
Privacy-1-12 06:53,7,Fog.,0,96,1023,10
Privacy-1-12 07:53,7,Fog.,0,96,1024,8
Privacy-1-12 08:53,9,Fog.,0,96,1025,8
Privacy-1-12 09:53,10,Fog.,0,93,1025,10
Privacy-1-12 10:53,11,Fog.,7,89,1025,6
Privacy-1-12 11:53,10,Fog.,9,93,1024,1
Privacy-1-12 12:53,11,Fog.,6,89,1023,6
Privacy-1-12 13:53,12,Passing clouds.,6,80,1023,16
Privacy-1-12 14:53,13,Passing clouds.,6,75,1023,16
Privacy-1-12 15:53,13,Scattered clouds.,6,77,1023,16
Privacy-1-12 16:53,12,Scattered clouds.,0,80,1023,16
Privacy-1-12 17:53,12,Passing clouds.,7,80,1023,16
Privacy-1-12 18:53,12,Passing clouds.,7,89,1023,16
Privacy-1-12 19:53,10,Fog.,0,93,1023,16
Privacy-1-12 20:53,10,Fog.,0,96,1023,16
Privacy-1-12 21:53,9,Fog.,0,93,1023,16
Privacy-1-12 22:53,9,Fog.,0,93,1023,16
Privacy-1-12 23:53,9,Fog.,6,93,1023,16
Privacy-1-13 00:53,7,Fog.,0,96,1023,16
Privacy-1-13 01:53,8,Fog.,0,93,1022,16
Privacy-1-13 02:53,8,Fog.,0,96,1023,16
Privacy-1-13 03:53,7,Fog.,0,93,1022,11
Privacy-1-13 05:00,8,Fog.,6,93,1023,0
Privacy-1-13 05:53,7,Fog.,0,97,1022,0
Privacy-1-13 06:53,6,Fog.,6,97,1023,0
Privacy-1-13 07:53,7,Fog.,0,96,1023,0
Privacy-1-13 08:53,8,Fog.,0,97,1023,1
Privacy-1-13 09:53,8,Fog.,0,100,1024,0
Privacy-1-13 10:53,9,Fog.,0,100,1023,1
Privacy-1-13 11:53,12,Passing clouds.,7,80,1022,16
Privacy-1-13 12:53,17,Sunny.,17,54,1021,16
Privacy-1-13 13:53,16,Sunny.,6,62,1020,16
Privacy-1-13 14:53,19,Passing clouds.,17,39,1020,16
Privacy-1-13 15:53,17,Passing clouds.,9,45,1020,16
Privacy-1-13 16:53,15,Passing clouds.,0,51,1020,16
Privacy-1-13 17:53,14,Passing clouds.,0,55,1020,16
Privacy-1-13 18:53,13,Passing clouds.,13,57,1021,16
Privacy-1-13 19:53,10,Clear.,6,63,1020,16
Privacy-1-13 20:53,12,Clear.,15,59,1020,16
Privacy-1-13 21:53,12,Clear.,15,61,1021,16
Privacy-1-13 22:53,8,Clear.,9,69,1021,16
Privacy-1-13 23:53,7,Clear.,6,76,1021,16
Privacy-1-13 00:53,7,Fog.,0,96,1023,16
Privacy-1-13 01:53,8,Fog.,0,93,1022,16
Privacy-1-13 02:53,8,Fog.,0,96,1023,16
Privacy-1-13 03:53,7,Fog.,0,93,1022,11
Privacy-1-13 05:00,8,Fog.,6,93,1023,0
Privacy-1-13 05:53,7,Fog.,0,97,1022,0
Privacy-1-13 06:53,6,Fog.,6,97,1023,0
Privacy-1-13 07:53,7,Fog.,0,96,1023,0
Privacy-1-13 08:53,8,Fog.,0,97,1023,1
Privacy-1-13 09:53,8,Fog.,0,100,1024,0
Privacy-1-13 10:53,9,Fog.,0,100,1023,1
Privacy-1-13 11:53,12,Passing clouds.,7,80,1022,16
Privacy-1-13 12:53,17,Sunny.,17,54,1021,16
Privacy-1-13 13:53,16,Sunny.,6,62,1020,16
Privacy-1-13 14:53,19,Passing clouds.,17,39,1020,16
Privacy-1-13 15:53,17,Passing clouds.,9,45,1020,16
Privacy-1-13 16:53,15,Passing clouds.,0,51,1020,16
Privacy-1-13 17:53,14,Passing clouds.,0,55,1020,16
Privacy-1-13 18:53,13,Passing clouds.,13,57,1021,16
Privacy-1-13 19:53,10,Clear.,6,63,1020,16
Privacy-1-13 20:53,12,Clear.,15,59,1020,16
Privacy-1-13 21:53,12,Clear.,15,61,1021,16
